Flight_ID,Time_s,Nf1,Nf2,Ng1,Ng2,T451,TGT452,Q1,Q2,dalpha,dbeta,Exceedance_Flag,DGCA_Compliance
Flight_01,121,77.81,81.01,60.97,72.14,516.28,539.36,23.7,33.87,37.13,22.06,NORMAL,COMPLIANT
Flight_01,122,74.05,76.47,57.73,66.77,472.61,494.59,23.83,33.96,37.07,21.35,NORMAL,COMPLIANT
Flight_01,123,75.13,78.73,59.88,67.61,476.27,479.49,23.84,33.45,37.73,22.86,NORMAL,COMPLIANT
Flight_01,124,75.29,79.01,59.97,67.87,466.25,474.12,23.44,33.23,37.25,21.6,NORMAL,COMPLIANT
Flight_01,125,81.48,85.46,65.03,73.16,501.4,504.88,24.51,32.87,37.4,22.17,NORMAL,COMPLIANT
Flight_01,126,84.1,88.62,67.26,75.17,497.37,498.3,23.3,33.2,36.26,21.46,NORMAL,COMPLIANT
Flight_01,127,80.58,87.09,66.78,74.23,492.21,490.55,23.71,32.9,37.13,23.55,NORMAL,COMPLIANT
Flight_01,128,79.34,85.55,66.09,73.47,536.79,545.71,23.88,32.63,38.18,25.13,NORMAL,COMPLIANT
Flight_01,129,78.78,86.45,65.94,73.31,513.02,522.67,25.39,33.97,38.11,24.97,NORMAL,COMPLIANT
Flight_01,130,74.92,84.66,63.29,70.27,495.59,513.25,26.21,34.86,40.45,27.75,NORMAL,COMPLIANT
Flight_01,131,78.46,89.35,66.96,73.68,483.37,501.31,25.06,32.88,40.49,27.79,NORMAL,COMPLIANT
Flight_01,132,75.01,85.39,64.1,70.32,487.3,515.52,23.77,31.61,38.66,25.32,NORMAL,COMPLIANT
Flight_01,133,72.32,83.6,62.53,68.1,491.04,521.41,22.29,30.28,38.56,25.42,NORMAL,COMPLIANT
Flight_01,134,75.37,86.72,65.88,71.41,487.72,512.81,22.85,30.94,40.78,29.67,NORMAL,COMPLIANT
Flight_01,135,72.81,85.14,65.97,70.07,485.97,516.6,24.45,32.04,41.74,31.8,NORMAL,COMPLIANT
Flight_01,136,71.72,84.46,65.86,68.9,486.44,519.66,23.63,32.22,41.69,31.87,NORMAL,COMPLIANT
Flight_01,137,62.14,75.31,58.52,60.77,467.96,498.52,23.53,31.97,42.66,32.52,NORMAL,COMPLIANT
Flight_01,138,57.81,71.15,55.0,57.76,483.89,527.6,24.65,33.22,43.88,33.83,NORMAL,COMPLIANT
Flight_01,139,53.24,65.09,49.11,52.05,482.46,529.15,27.63,36.95,43.29,33.32,NORMAL,COMPLIANT
Flight_01,140,49.83,61.75,46.79,48.24,480.1,532.34,29.01,37.2,43.74,32.96,NORMAL,COMPLIANT
Flight_01,141,54.74,65.66,50.51,51.2,499.74,548.02,33.62,42.0,42.52,31.11,NORMAL,COMPLIANT
Flight_01,142,53.28,63.73,50.25,48.4,511.93,562.47,37.6,45.57,41.89,30.47,NORMAL,COMPLIANT
Flight_01,143,54.46,65.18,50.95,48.94,513.83,569.04,37.31,46.25,40.72,28.87,NORMAL,COMPLIANT
Flight_01,144,54.29,65.46,51.61,48.49,502.69,549.21,37.93,45.97,40.69,29.12,NORMAL,COMPLIANT
Flight_01,145,52.04,63.57,49.91,47.4,489.46,537.19,39.49,46.97,40.14,27.52,NORMAL,COMPLIANT
Flight_01,146,49.32,60.94,47.52,46.74,514.54,545.03,39.13,46.1,41.25,28.87,NORMAL,COMPLIANT
Flight_01,147,53.35,64.39,49.59,48.96,495.34,515.23,37.64,44.13,40.87,28.76,NORMAL,COMPLIANT
Flight_01,148,54.13,63.08,49.1,49.19,499.39,521.24,38.79,44.47,39.79,26.27,NORMAL,COMPLIANT
Flight_01,149,49.55,57.47,45.54,44.6,502.44,523.02,43.07,47.69,39.11,25.93,NORMAL,COMPLIANT
Flight_01,150,47.11,55.72,42.81,41.35,524.34,543.89,46.05,49.74,38.11,23.81,NORMAL,COMPLIANT
Flight_01,151,49.99,59.03,44.26,44.22,520.03,532.06,45.69,50.46,38.12,23.94,NORMAL,COMPLIANT
Flight_01,152,52.09,58.66,44.99,44.63,461.92,460.76,45.47,50.66,41.85,29.26,NORMAL,COMPLIANT
Flight_01,153,48.97,55.84,42.25,41.26,427.61,422.31,46.1,50.54,42.43,29.14,NORMAL,COMPLIANT
Flight_01,154,44.69,51.55,38.9,38.14,435.71,423.82,49.73,55.26,41.33,28.27,NORMAL,COMPLIANT
Flight_01,155,46.4,52.46,40.69,39.22,433.16,405.89,50.09,55.7,40.32,25.93,NORMAL,COMPLIANT
Flight_01,156,52.09,57.57,44.72,42.97,418.14,389.11,51.18,55.7,40.57,26.3,NORMAL,COMPLIANT
Flight_01,157,54.95,62.15,47.5,46.99,448.01,420.64,55.22,59.23,42.27,29.06,NORMAL,COMPLIANT
Flight_01,158,54.57,62.43,47.2,46.78,446.12,414.4,54.91,58.5,44.87,32.48,NORMAL,COMPLIANT
Flight_01,159,52.73,60.78,45.83,44.84,419.08,378.47,55.8,58.26,45.23,32.89,NORMAL,COMPLIANT
Flight_01,160,52.35,58.7,44.55,43.72,409.82,374.45,55.52,57.58,47.62,35.55,NORMAL,COMPLIANT
Flight_01,161,54.64,60.18,45.22,45.15,406.9,364.19,54.77,56.99,47.73,34.59,NORMAL,COMPLIANT
Flight_01,162,48.55,53.69,40.9,39.64,392.41,347.43,54.69,56.95,47.21,34.57,NORMAL,COMPLIANT
Flight_01,163,42.26,46.75,35.98,33.98,397.16,345.58,57.68,58.45,46.26,33.73,NORMAL,COMPLIANT
Flight_01,164,46.99,51.71,40.28,39.96,398.33,344.27,59.94,61.5,46.51,35.25,NORMAL,COMPLIANT
Flight_01,165,42.24,46.89,36.6,34.44,390.3,342.11,57.58,59.76,47.1,36.11,NORMAL,COMPLIANT
Flight_01,166,41.77,46.88,35.89,33.2,371.77,319.2,58.92,61.28,46.92,36.26,NORMAL,COMPLIANT
Flight_01,167,40.31,47.06,36.19,33.08,364.0,305.68,57.77,59.73,47.22,36.59,NORMAL,COMPLIANT
Flight_01,168,38.61,45.71,35.35,31.7,387.85,326.34,58.83,61.49,47.35,37.0,NORMAL,COMPLIANT
Flight_01,169,38.38,46.18,35.29,31.39,377.51,315.87,56.04,60.34,47.22,36.9,NORMAL,COMPLIANT
Flight_01,170,35.49,44.31,33.44,30.32,398.88,337.38,55.18,59.96,47.47,36.7,NORMAL,COMPLIANT
Flight_01,171,36.67,44.57,32.87,30.07,380.1,328.79,52.63,58.42,47.56,37.05,NORMAL,COMPLIANT
Flight_01,172,35.6,43.6,32.78,29.2,364.93,315.28,50.25,56.57,48.66,39.2,NORMAL,COMPLIANT
Flight_01,173,34.14,42.39,32.03,28.43,375.48,321.73,50.88,58.31,49.57,40.41,NORMAL,COMPLIANT
Flight_01,174,38.8,46.08,36.28,32.75,379.28,339.74,50.01,57.97,49.26,39.73,NORMAL,COMPLIANT
Flight_01,175,39.67,48.26,37.54,33.76,382.38,340.07,51.87,60.4,48.33,39.1,NORMAL,COMPLIANT
Flight_01,176,48.53,57.84,45.0,43.12,361.91,312.31,48.94,56.72,48.51,39.74,NORMAL,COMPLIANT
Flight_01,177,49.59,59.35,46.17,44.9,391.44,339.24,51.66,58.77,47.83,39.12,NORMAL,COMPLIANT
Flight_01,178,48.69,58.23,45.28,44.89,393.71,344.51,51.37,58.16,49.06,40.95,NORMAL,COMPLIANT
Flight_01,179,52.01,60.65,47.73,48.17,353.54,297.81,51.27,58.54,51.47,45.29,NORMAL,COMPLIANT
Flight_01,180,50.66,59.12,47.16,46.91,360.1,293.87,51.67,59.12,49.98,43.27,NORMAL,COMPLIANT
Flight_01,181,44.48,53.04,42.23,41.03,366.88,297.17,48.8,56.96,51.48,45.0,NORMAL,COMPLIANT
Flight_01,182,43.57,53.36,42.19,39.64,375.63,305.9,46.93,54.61,52.33,45.5,NORMAL,COMPLIANT
Flight_01,183,43.47,52.44,41.84,40.24,348.12,276.68,47.97,55.49,52.92,45.89,NORMAL,COMPLIANT
Flight_01,184,43.93,52.04,42.0,39.7,354.13,292.76,50.99,59.56,51.6,43.92,NORMAL,COMPLIANT
Flight_01,185,43.87,51.44,41.82,38.96,372.29,307.37,47.47,56.24,49.43,40.74,NORMAL,COMPLIANT
